"Geography","1st centile","5th centile","25th centile","75th centile","95th centile","99th centile","Value","Group","Model","Scenario","ValueType","Creation Day","Creation Month","Creation Year","Day of Value","Month of Value","Year of Value"
"South East",15.6543004624562,21.5228898147449,31.0974670348079,53.3316718614543,68.145311796442,76.7449319799676,41.3631096990714,"PHE/Cambridge","Regional/age","Forecast","infections_cum",3,7,2020,18,2,2020
"South West",4.31057803653359,5.41696724290744,8.14100026645124,16.117201149666,21.8863291831338,25.5716363292319,11.3602543382298,"PHE/Cambridge","Regional/age","Forecast","infections_cum",3,7,2020,18,2,2020
"East of England",4.29466581886797,7.24278781407709,14.7402465796442,27.0724483857449,36.4899141228545,44.8577850135166,21.2240395016401,"PHE/Cambridge","Regional/age","Forecast","infections_cum",3,7,2020,19,2,2020
"London",155.99029612945,184.676804617676,227.800567304005,307.893048136808,371.708594816194,416.449896305467,267.486406599128,"PHE/Cambridge","Regional/age","Forecast","infections_cum",3,7,2020,19,2,2020
"Midlands",43.4131651132885,51.7189632756366,66.7348553514481,93.7595663714063,125.825660288588,145.854781245551,78.2274689275207,"PHE/Cambridge","Regional/age","Forecast","infections_cum",3,7,2020,19,2,2020
"North East and Yorkshire",4.63436126022131,6.61122738406319,10.2906422906956,18.9381077557618,28.2632994489132,36.3986525714134,14.2694756165774,"PHE/Cambridge","Regional/age","Forecast","infections_cum",3,7,2020,19,2,2020
"North West",13.7928337129212,16.2825909013419,22.7343720958728,40.5685991247861,58.831642954476,70.3478671784531,30.6870489786424,"PHE/Cambridge","Regional/age","Forecast","infections_cum",3,7,2020,19,2,2020
"South East",26.7311179638561,36.540911180166,52.3961971959872,89.0588011762886,113.104806003132,127.314284542045,69.3546761599915,"PHE/Cambridge","Regional/age","Forecast","infections_cum",3,7,2020,19,2,2020
"South West",7.36872223530247,9.22136061566141,13.7395373672344,26.8902200957278,36.3332705533659,42.3833767261926,19.0817253198802,"PHE/Cambridge","Regional/age","Forecast","infections_cum",3,7,2020,19,2,2020
"East of England",6.833990306124,11.3437019593254,22.8185356950574,41.3705696310963,55.3821685182948,67.8876910168991,32.6101488846868,"PHE/Cambridge","Regional/age","Forecast","infections_cum",3,7,2020,20,2,2020
"London",238.472607744796,280.850097994227,345.218556376155,463.360629746538,557.560494308372,623.157647267316,403.978083775938,"PHE/Cambridge","Regional/age","Forecast","infections_cum",3,7,2020,20,2,2020
"Midlands",66.5765051995883,79.1038516505646,101.537494152973,141.773402097722,189.15954220075,218.135281458337,118.665345397384,"PHE/Cambridge","Regional/age","Forecast","infections_cum",3,7,2020,20,2,2020
"North East and Yorkshire",7.33600661249777,10.3998821338824,16.0238662051514,29.1009819426194,43.0297156495633,55.1355546087804,22.0704773399567,"PHE/Cambridge","Regional/age","Forecast","infections_cum",3,7,2020,20,2,2020
"North West",21.4303003372759,25.2280565264709,34.9569399595705,61.6351800172213,88.6444908615881,105.659150452424,46.9307236417926,"PHE/Cambridge","Regional/age","Forecast","infections_cum",3,7,2020,20,2,2020
"South East",40.8773282157912,55.5376357379596,78.8919099911998,132.791854103308,167.880301293075,188.790432041684,104.090107928985,"PHE/Cambridge","Regional/age","Forecast","infections_cum",3,7,2020,20,2,2020
"South West",11.2790988564136,14.0617964274009,20.7864352372114,40.1613642064382,53.9255249051334,62.8021915091076,28.6903826208083,"PHE/Cambridge","Regional/age","Forecast","infections_cum",3,7,2020,20,2,2020
"East of England",10.2856926966808,16.8305616170984,33.2928107401735,59.609382766865,79.0892764639946,96.8273891504571,47.2185762836907,"PHE/Cambridge","Regional/age","Forecast","infections_cum",3,7,2020,21,2,2020
"London",343.525737734181,402.554354604273,492.328880506394,657.308417522632,787.185706468755,877.804542537578,574.888667263,"PHE/Cambridge","Regional/age","Forecast","infections_cum",3,7,2020,21,2,2020
"Midlands",96.1947533635249,114.015418721349,145.595117133008,201.904880583122,267.803377248877,307.146074849097,169.60410637269,"PHE/Cambridge","Regional/age","Forecast","infections_cum",3,7,2020,21,2,2020
"North East and Yorkshire",10.9634005933102,15.4260988637047,23.5301112781523,42.1526047856037,61.7725185966922,78.676885285711,32.1383678441908,"PHE/Cambridge","Regional/age","Forecast","infections_cum",3,7,2020,21,2,2020
"North West",31.3761976589495,36.8452717919731,50.6892266193543,88.308238594208,125.90252791848,149.518131747532,67.6149033467411,"PHE/Cambridge","Regional/age","Forecast","infections_cum",3,7,2020,21,2,2020
"South East",58.915988908791,79.5291233327588,112.012486296538,186.610938577926,235.044654181999,263.205122947489,147.136884334296,"PHE/Cambridge","Regional/age","Forecast","infections_cum",3,7,2020,21,2,2020
"South West",16.269501604927,20.2162816766836,29.5830117005444,56.3345711542,75.2686954771143,87.5069918860434,40.6407405243019,"PHE/Cambridge","Regional/age","Forecast","infections_cum",3,7,2020,21,2,2020
"East of England",14.9562827291477,24.174088172438,46.8827442469954,82.8124621011539,109.471127312578,133.256135816859,65.8830213579616,"PHE/Cambridge","Regional/age","Forecast","infections_cum",3,7,2020,22,2,2020
"London",477.094208140916,556.569218792532,677.183836640828,898.221631306509,1070.95421775659,1191.48217936216,787.725170434771,"PHE/Cambridge","Regional/age","Forecast","infections_cum",3,7,2020,22,2,2020
"Midlands",134.425301228103,158.682711474296,201.434991269882,277.320469118477,365.207037188218,416.839207608832,233.702779076834,"PHE/Cambridge","Regional/age","Forecast","infections_cum",3,7,2020,22,2,2020
"North East and Yorkshire",15.8373429390398,22.073613020452,33.4328858674361,58.8850247794338,85.8737493975691,108.278001891029,45.1368501667284,"PHE/Cambridge","Regional/age","Forecast","infections_cum",3,7,2020,22,2,2020
"North West",44.3339977449508,52.0193809668776,71.0040145381338,121.935985272971,172.478970003234,204.075912689969,93.904890975095,"PHE/Cambridge","Regional/age","Forecast","infections_cum",3,7,2020,22,2,2020
"South East",81.939670553565,110.122087154498,153.355791993464,252.819513920909,316.950879583763,353.723271973287,200.29213544911,"PHE/Cambridge","Regional/age","Forecast","infections_cum",3,7,2020,22,2,2020
"South West",22.6539343373077,28.0457173299273,40.6508663688037,76.3076441625527,101.130483733686,117.43346312477,55.4241116016473,"PHE/Cambridge","Regional/age","Forecast","infections_cum",3,7,2020,22,2,2020
"East of England",21.2766067258834,33.973308403524,64.504240370433,112.335429600935,147.514563942235,178.964353498455,89.7902695293644,"PHE/Cambridge","Regional/age","Forecast","infections_cum",3,7,2020,23,2,2020
"London",647.350664699792,751.542234730981,909.713409472055,1198.4983459083,1422.31326892266,1577.66894824468,1054.25286597421,"PHE/Cambridge","Regional/age","Forecast","infections_cum",3,7,2020,23,2,2020
"Midlands",183.609857093755,215.753538520623,272.420994378821,371.30646340813,485.448045621975,552.311197814504,314.516883570235,"PHE/Cambridge","Regional/age","Forecast","infections_cum",3,7,2020,23,2,2020
"North East and Yorkshire",22.3904646017819,30.9672892341723,46.3509343441177,80.5224386027992,116.407398162021,145.509886773787,62.1248837049246,"PHE/Cambridge","Regional/age","Forecast","infections_cum",3,7,2020,23,2,2020
"North West",61.212786858845,71.5544027767042,97.0634675110004,164.452374053287,230.369279543158,271.745074300428,127.391910639522,"PHE/Cambridge","Regional/age","Forecast","infections_cum",3,7,2020,23,2,2020
"South East",111.382908670944,148.595386780822,205.205551687527,334.157667840257,416.191732114752,463.934447761508,266.178658895238,"PHE/Cambridge","Regional/age","Forecast","infections_cum",3,7,2020,23,2,2020
"South West",30.8207357180878,37.9555648787507,54.4675313384803,100.75238089511,132.516206767768,153.747751981837,73.7265298855724,"PHE/Cambridge","Regional/age","Forecast","infections_cum",3,7,2020,23,2,2020
"East of England",29.7522296226199,47.0336428593307,87.399071600926,150.006764236986,195.883807697969,236.233975243728,120.667378966874,"PHE/Cambridge","Regional/age","Forecast","infections_cum",3,7,2020,24,2,2020
"London",865.241829840469,998.429458455508,1202.1494069136,1573.95535103681,1856.62825153335,2055.89835010231,1387.71300258527,"PHE/Cambridge","Regional/age","Forecast","infections_cum",3,7,2020,24,2,2020
"Midlands",246.623991175413,288.602233801274,361.965707251576,489.366928199322,635.233888157119,719.437281425641,416.493580358242,"PHE/Cambridge","Regional/age","Forecast","infections_cum",3,7,2020,24,2,2020
"North East and Yorkshire",31.199934951721,42.8161378169261,63.2578712421637,108.343866526933,155.083783738611,192.336596326662,84.1713513130947,"PHE/Cambridge","Regional/age","Forecast","infections_cum",3,7,2020,24,2,2020
"North West",83.4433680707735,97.1552232634524,130.887499974611,218.291736886231,302.670215392111,355.311339537677,170.256383918085,"PHE/Cambridge","Regional/age","Forecast","infections_cum",3,7,2020,24,2,2020
"South East",149.119500500844,196.892701118805,269.889475035434,433.975254297624,537.54270943487,596.793590042499,347.556302852978,"PHE/Cambridge","Regional/age","Forecast","infections_cum",3,7,2020,24,2,2020
"South West",41.2942930413108,50.5541685239459,71.8204870162756,130.768942581119,170.783854644674,197.825774403961,96.5634637010769,"PHE/Cambridge","Regional/age","Forecast","infections_cum",3,7,2020,24,2,2020
"East of England",41.3447761650442,64.2289413039551,117.289813846684,197.891239243506,256.634102042106,308.128554340556,160.236516397106,"PHE/Cambridge","Regional/age","Forecast","infections_cum",3,7,2020,25,2,2020
"London",1143.26135860647,1310.72673434572,1570.18550203992,2041.05895506194,2393.89937626609,2646.20499048783,1804.49299794685,"PHE/Cambridge","Regional/age","Forecast","infections_cum",3,7,2020,25,2,2020
"Midlands",327.956191639104,381.885081168636,475.734043103056,637.555422801545,821.309352910001,925.921041425674,545.290354904945,"PHE/Cambridge","Regional/age","Forecast","infections_cum",3,7,2020,25,2,2020
"North East and Yorkshire",42.9975351913329,58.590353545104,85.5850666200565,144.206184437771,203.787648498965,251.835295490086,112.785492998027,"PHE/Cambridge","Regional/age","Forecast","infections_cum",3,7,2020,25,2,2020
"North West",112.361355924026,130.329230834972,173.913302787543,286.217929710664,392.948097308771,459.928076799019,225.008695094618,"PHE/Cambridge","Regional/age","Forecast","infections_cum",3,7,2020,25,2,2020
"South East",197.152878076023,258.109124007574,350.334938689327,556.395671070663,685.958188852205,757.984575827536,448.018386825967,"PHE/Cambridge","Regional/age","Forecast","infections_cum",3,7,2020,25,2,2020
"South West",54.7010771766567,66.5111929221903,93.435342062442,167.485748343409,217.494330874974,251.287296483107,124.743446808126,"PHE/Cambridge","Regional/age","Forecast","infections_cum",3,7,2020,25,2,2020
"East of England",57.17930604423,86.9865798903727,156.016042275215,258.985990986094,333.648269783828,398.382371980182,211.102059194252,"PHE/Cambridge","Regional/age","Forecast","infections_cum",3,7,2020,26,2,2020
"London",1497.99886664813,1706.24131244143,2034.15081072371,2619.4137833979,3058.51077253084,3377.54454284709,2325.648970438,"PHE/Cambridge","Regional/age","Forecast","infections_cum",3,7,2020,26,2,2020
"Midlands",432.725041992066,500.792590845903,619.792389335879,823.461349246931,1052.49441379458,1181.32836219384,707.936463142748,"PHE/Cambridge","Regional/age","Forecast","infections_cum",3,7,2020,26,2,2020
"North East and Yorkshire",58.8625205329364,79.4959240069663,114.792398551004,190.327649194919,265.990164246006,326.946563174658,149.892022373385,"PHE/Cambridge","Regional/age","Forecast","infections_cum",3,7,2020,26,2,2020
"North West",150.226869270529,173.750713549677,230.10497239675,371.699646457319,505.821998728184,589.696088029496,294.826703475096,"PHE/Cambridge","Regional/age","Forecast","infections_cum",3,7,2020,26,2,2020
"South East",258.916452163141,335.266024603176,451.137229011002,706.709847114042,866.40581508516,955.762556835359,573.931336735222,"PHE/Cambridge","Regional/age","Forecast","infections_cum",3,7,2020,26,2,2020
"South West",71.7489233670812,86.856786225435,120.865306008261,212.500581476862,275.002174206142,316.46998519019,160.013515367945,"PHE/Cambridge","Regional/age","Forecast","infections_cum",3,7,2020,26,2,2020
"East of England",78.5255911357139,117.224648227345,206.475810945621,336.830909183149,431.158132650206,512.257892386317,276.73406534149,"PHE/Cambridge","Regional/age","Forecast","infections_cum",3,7,2020,27,2,2020
"London",1946.69343072966,2206.66982615891,2613.83638374357,3340.52263368255,3878.01761274664,4281.49528968245,2977.57798491556,"PHE/Cambridge","Regional/age","Forecast","infections_cum",3,7,2020,27,2,2020
"Midlands",567.118818594852,652.792916771951,801.938893362941,1057.42771591145,1338.76395892955,1496.08253444846,913.089717374527,"PHE/Cambridge","Regional/age","Forecast","infections_cum",3,7,2020,27,2,2020
"North East and Yorkshire",80.2267561547001,107.242985055753,153.113253565217,249.613176865647,345.388034372038,421.821632355398,198.020687083819,"PHE/Cambridge","Regional/age","Forecast","infections_cum",3,7,2020,27,2,2020
"North West",199.792294534825,230.503205942956,302.71356142138,480.248438969348,645.885063004769,751.01880811526,383.525549984713,"PHE/Cambridge","Regional/age","Forecast","infections_cum",3,7,2020,27,2,2020
"South East",338.117941783198,431.478077761178,577.23493444483,891.423354886588,1086.81322318412,1197.79115256644,729.389952759998,"PHE/Cambridge","Regional/age","Forecast","infections_cum",3,7,2020,27,2,2020
"South West",93.4657388496484,112.625556304988,155.198281400554,268.292575178326,344.464543788631,396.056925786749,203.510235694675,"PHE/Cambridge","Regional/age","Forecast","infections_cum",3,7,2020,27,2,2020
"East of England",107.18689405577,157.226124066106,272.047272736932,436.372892187745,553.934413396528,657.514693227446,360.481980544676,"PHE/Cambridge","Regional/age","Forecast","infections_cum",3,7,2020,28,2,2020
"London",2512.8915449093,2839.92221349403,3343.65641375872,4238.57407160166,4902.78607816676,5389.14179850074,3792.19292163075,"PHE/Cambridge","Regional/age","Forecast","infections_cum",3,7,2020,28,2,2020
"Midlands",739.996690724768,847.05605477088,1032.44580995187,1350.00276043717,1693.19291799487,1891.03814945,1172.199669304,"PHE/Cambridge","Regional/age","Forecast","infections_cum",3,7,2020,28,2,2020
"North East and Yorkshire",108.946974855075,144.137062128705,202.967311507335,326.31847121314,445.571468862943,540.884522905941,260.359718414321,"PHE/Cambridge","Regional/age","Forecast","infections_cum",3,7,2020,28,2,2020
"North West",264.876265519429,304.126850918928,394.825515185415,617.842432326418,822.757535285476,952.636796762678,497.061759546785,"PHE/Cambridge","Regional/age","Forecast","infections_cum",3,7,2020,28,2,2020
"South East",438.647327705227,553.806688796255,734.733832712252,1118.1709639628,1354.75271796645,1491.55061236343,921.308562526954,"PHE/Cambridge","Regional/age","Forecast","infections_cum",3,7,2020,28,2,2020
"South West",121.040269988631,145.583117705208,198.141965313123,336.45339236354,429.057274869113,493.251479436071,257.568204112663,"PHE/Cambridge","Regional/age","Forecast","infections_cum",3,7,2020,28,2,2020
"East of England",146.141797557539,210.600177330789,357.42802512539,563.617941833463,708.810418470692,837.12612568276,467.485202359917,"PHE/Cambridge","Regional/age","Forecast","infections_cum",3,7,2020,29,2,2020
"London",3233.6630724704,3636.88523434521,4260.94232318684,5357.00896026046,6163.85426603194,6773.54186451155,4809.55335590971,"PHE/Cambridge","Regional/age","Forecast","infections_cum",3,7,2020,29,2,2020
"Midlands",960.734807272758,1094.61502811645,1323.68899868207,1718.2462203367,2132.58880831306,2372.99307866063,1496.28483074387,"PHE/Cambridge","Regional/age","Forecast","infections_cum",3,7,2020,29,2,2020
"North East and Yorkshire",147.582065815214,193.796578807936,268.628663425392,424.587299061634,572.350350752326,691.492668672725,341.44805112123,"PHE/Cambridge","Regional/age","Forecast","infections_cum",3,7,2020,29,2,2020
"North West",349.190859361583,400.372604506799,514.840750268747,791.309499739027,1042.84104843867,1200.8687499339,641.722013124996,"PHE/Cambridge","Regional/age","Forecast","infections_cum",3,7,2020,29,2,2020
"South East",567.058791817149,707.778722540445,930.699912780126,1397.0739569567,1680.72911942821,1849.78503204046,1158.11806606969,"PHE/Cambridge","Regional/age","Forecast","infections_cum",3,7,2020,29,2,2020
"South West",156.113950441154,186.719899365608,251.905681787722,419.670985355156,531.105695596932,610.844122961533,324.963269265564,"PHE/Cambridge","Regional/age","Forecast","infections_cum",3,7,2020,29,2,2020
"East of England",198.467255652146,281.953076572761,468.53620483924,725.211875470752,901.627306421092,1062.97268971997,604.979987765545,"PHE/Cambridge","Regional/age","Forecast","infections_cum",3,7,2020,1,3,2020
"London",4140.15163363583,4651.03265757506,5414.72292824561,6752.07567678799,7726.48058140476,8470.43214439673,6085.52328590241,"PHE/Cambridge","Regional/age","Forecast","infections_cum",3,7,2020,1,3,2020
"Midlands",1244.50776795406,1409.81012235536,1694.09243140334,2179.38847994046,2678.33811659663,2968.95201161174,1905.31271845867,"PHE/Cambridge","Regional/age","Forecast","infections_cum",3,7,2020,1,3,2020
"North East and Yorkshire",199.792306591684,258.548815542743,354.705436068564,551.19441790327,733.59358469345,881.862592058851,446.499049142465,"PHE/Cambridge","Regional/age","Forecast","infections_cum",3,7,2020,1,3,2020
"North West",459.13241811836,525.228387411457,669.34639157114,1011.48527780886,1316.08247282444,1511.43495398176,825.718117602761,"PHE/Cambridge","Regional/age","Forecast","infections_cum",3,7,2020,1,3,2020
"South East",730.963009606819,902.304691991731,1175.30368505119,1739.94660337015,2077.98231310493,2285.05701888557,1450.0064586959,"PHE/Cambridge","Regional/age","Forecast","infections_cum",3,7,2020,1,3,2020
"South West",200.939612456237,239.286981464952,319.120580131499,522.244292986733,656.307432136535,753.82952776012,408.708675872385,"PHE/Cambridge","Regional/age","Forecast","infections_cum",3,7,2020,1,3,2020
"East of England",268.434459621119,376.378970949912,613.200038537253,931.893963255056,1149.69027107105,1348.67501117127,782.053610469428,"PHE/Cambridge","Regional/age","Forecast","infections_cum",3,7,2020,2,3,2020
"London",5278.6946872148,5922.98682455378,6863.66789425403,8492.24714108907,9664.05867300884,10556.2370318191,7679.98110374071,"PHE/Cambridge","Regional/age","Forecast","infections_cum",3,7,2020,2,3,2020
"Midlands",1607.33755876712,1815.73592444908,2163.54138389951,2754.64519072461,3355.86746135754,3715.74195666341,2423.19271738367,"PHE/Cambridge","Regional/age","Forecast","infections_cum",3,7,2020,2,3,2020
"North East and Yorkshire",270.091886439215,345.317130351073,468.252710949333,713.256577064533,938.309157167358,1125.52433847647,583.366105389866,"PHE/Cambridge","Regional/age","Forecast","infections_cum",3,7,2020,2,3,2020
"North West",603.549492441983,688.577789634168,867.413293635356,1286.79934142442,1656.4431807658,1897.01583251808,1059.51701188826,"PHE/Cambridge","Regional/age","Forecast","infections_cum",3,7,2020,2,3,2020
"South East",938.870143675403,1149.53212293578,1479.65985121574,2161.13848077329,2563.26400598692,2812.82067596023,1812.30518416565,"PHE/Cambridge","Regional/age","Forecast","infections_cum",3,7,2020,2,3,2020
"South West",258.121670607103,305.70225260748,403.544429801428,648.654361589121,809.968113528639,927.047097885791,512.633108841625,"PHE/Cambridge","Regional/age","Forecast","infections_cum",3,7,2020,2,3,2020
"East of England",363.44577126634,501.352614190982,799.899358477481,1194.21088075562,1466.39249119249,1708.10559081202,1010.47225112426,"PHE/Cambridge","Regional/age","Forecast","infections_cum",3,7,2020,3,3,2020
"London",6737.24040154949,7540.55363091407,8689.31828606784,10653.6553983569,12068.7332335628,13131.625286188,9683.14407505593,"PHE/Cambridge","Regional/age","Forecast","infections_cum",3,7,2020,3,3,2020
"Midlands",2075.3698410252,2329.19082732676,2755.01808835127,3477.69574694484,4197.59522978818,4631.04637022933,3077.0845959179,"PHE/Cambridge","Regional/age","Forecast","infections_cum",3,7,2020,3,3,2020
"North East and Yorkshire",364.664192314563,461.869418121504,616.811526974845,923.099995615843,1199.14481234803,1434.13371203196,760.198908530862,"PHE/Cambridge","Regional/age","Forecast","infections_cum",3,7,2020,3,3,2020
"North West",791.554720195257,899.915681853332,1124.24225345958,1635.67810768316,2080.85346638189,2372.95397078098,1358.09409923279,"PHE/Cambridge","Regional/age","Forecast","infections_cum",3,7,2020,3,3,2020
"South East",1199.77981265922,1460.45981882347,1861.21677739349,2677.03918469981,3153.94973086485,3459.75158268584,2259.53252900143,"PHE/Cambridge","Regional/age","Forecast","infections_cum",3,7,2020,3,3,2020
"South West",331.4712319469,388.865571620693,508.898751762518,804.215661632991,994.635035336069,1137.45277129978,640.708658246392,"PHE/Cambridge","Regional/age","Forecast","infections_cum",3,7,2020,3,3,2020
"East of England",492.132827799091,667.265694112529,1043.79905980978,1527.70035610915,1858.6788055972,2160.60494972263,1303.03235587739,"PHE/Cambridge","Regional/age","Forecast","infections_cum",3,7,2020,4,3,2020
"London",8599.47580107726,9573.33622225795,10962.2917180547,13344.9137878634,15043.1953707391,16316.7933898793,12182.0788012297,"PHE/Cambridge","Regional/age","Forecast","infections_cum",3,7,2020,4,3,2020
"Midlands",2673.92081277225,2987.49442766213,3505.25471426562,4381.113399825,5241.54824189834,5766.64845060163,3905.20843647168,"PHE/Cambridge","Regional/age","Forecast","infections_cum",3,7,2020,4,3,2020
"North East and Yorkshire",491.465096534588,614.331518799585,811.513140051091,1193.45043201074,1531.22973326002,1824.91081445482,990.499806848538,"PHE/Cambridge","Regional/age","Forecast","infections_cum",3,7,2020,4,3,2020
"North West",1035.62558027043,1174.69397934553,1453.06073140363,2078.71232230704,2612.75881898745,2966.57922735612,1739.5010108111,"PHE/Cambridge","Regional/age","Forecast","infections_cum",3,7,2020,4,3,2020
"South East",1541.84998043167,1854.68340748811,2337.58843875296,3313.44440466737,3878.3227994309,4240.82401606043,2814.6949544338,"PHE/Cambridge","Regional/age","Forecast","infections_cum",3,7,2020,4,3,2020
"South West",425.229712324223,495.416269801008,640.259380305669,993.20303369585,1219.29176861331,1394.29696834007,800.595875524075,"PHE/Cambridge","Regional/age","Forecast","infections_cum",3,7,2020,4,3,2020
"East of England",664.69144102146,888.015521331469,1356.30381812869,1954.82482773045,2360.6126697541,2722.47442521554,1678.70263790382,"PHE/Cambridge","Regional/age","Forecast","infections_cum",3,7,2020,5,3,2020
"London",10969.3786231719,12152.7035594353,13828.002630242,16690.4271490503,18718.036252701,20247.3655754668,15300.6933873539,"PHE/Cambridge","Regional/age","Forecast","infections_cum",3,7,2020,5,3,2020
"Midlands",3440.76516817402,3829.9113581812,4459.70589535165,5513.7125416833,6538.61749125469,7162.29110263239,4946.0136320087,"PHE/Cambridge","Regional/age","Forecast","infections_cum",3,7,2020,5,3,2020
"North East and Yorkshire",662.935980954076,816.576858965763,1067.5327230696,1540.36841878736,1958.61170152848,2308.17888605367,1287.41456119014,"PHE/Cambridge","Regional/age","Forecast","infections_cum",3,7,2020,5,3,2020
"North West",1349.87862126418,1533.47897861806,1880.13143629138,2634.77698299353,3280.59883418402,3707.82981423642,2226.14351771032,"PHE/Cambridge","Regional/age","Forecast","infections_cum",3,7,2020,5,3,2020
"South East",1976.38195023242,2354.24070060847,2930.12304554569,4093.66515283633,4764.46017496486,5182.11700859542,3501.16153400007,"PHE/Cambridge","Regional/age","Forecast","infections_cum",3,7,2020,5,3,2020
"South West",545.092463523591,630.688038392562,805.490912376108,1224.77175857549,1496.45082625435,1702.49957877926,998.788818748607,"PHE/Cambridge","Regional/age","Forecast","infections_cum",3,7,2020,5,3,2020
"East of England",898.979813384003,1184.2681445886,1768.97828128243,2501.17391161695,2993.12694844102,3427.30090731089,2159.44653131699,"PHE/Cambridge","Regional/age","Forecast","infections_cum",3,7,2020,6,3,2020
"London",13988.0773967687,15389.4357042778,17415.9770323818,20866.9584205143,23299.7348773456,25063.8368744535,19199.7669018755,"PHE/Cambridge","Regional/age","Forecast","infections_cum",3,7,2020,6,3,2020
"Midlands",4421.28581824347,4897.38237400996,5666.91593207419,6941.91482572106,8134.435187758,8886.94427750986,6253.7994586089,"PHE/Cambridge","Regional/age","Forecast","infections_cum",3,7,2020,6,3,2020
"North East and Yorkshire",894.330748161972,1082.90954529545,1400.85053212608,1986.64068392397,2502.77307782435,2907.18398244522,1674.48980441,"PHE/Cambridge","Regional/age","Forecast","infections_cum",3,7,2020,6,3,2020
"North West",1759.98594681447,1998.55745206516,2430.90204361572,3340.82735977514,4119.35455777819,4641.34065821836,2846.14995709103,"PHE/Cambridge","Regional/age","Forecast","infections_cum",3,7,2020,6,3,2020
"South East",2525.80280041529,2976.58557123776,3678.22787715021,5050.84849701345,5844.97939827458,6330.53224468318,4356.61930071174,"PHE/Cambridge","Regional/age","Forecast","infections_cum",3,7,2020,6,3,2020
"South West",698.156170972304,801.927037834704,1014.02833448336,1511.53266476576,1832.97195906255,2076.19176857776,1246.2909764051,"PHE/Cambridge","Regional/age","Forecast","infections_cum",3,7,2020,6,3,2020
"East of England",1218.78276492175,1573.2936634604,2302.95188934597,3196.66721530509,3791.18489284502,4308.93295241192,2774.5612940709,"PHE/Cambridge","Regional/age","Forecast","infections_cum",3,7,2020,7,3,2020
"London",17799.0992122333,19525.913434478,21933.7111868375,26049.1157009327,28991.6309959069,31058.1767215746,24049.4353890739,"PHE/Cambridge","Regional/age","Forecast","infections_cum",3,7,2020,7,3,2020
"Midlands",5678.7551891392,6257.81910585652,7188.08597078248,8726.69589282708,10120.9099348412,11033.2987614965,7908.73777545676,"PHE/Cambridge","Regional/age","Forecast","infections_cum",3,7,2020,7,3,2020
"North East and Yorkshire",1203.00507782591,1439.71855935133,1835.00726255758,2561.90949426079,3184.14546571432,3669.35036887523,2177.20812465708,"PHE/Cambridge","Regional/age","Forecast","infections_cum",3,7,2020,7,3,2020
