"Geography","1st centile","5th centile","25th centile","75th centile","95th centile","99th centile","Value","Group","Model","Scenario","ValueType","Creation Day","Creation Month","Creation Year","Day of Value","Month of Value","Year of Value"
"South West",9.50030630937691,12.0885408455537,18.3197724979063,36.0427715606033,55.2789951392882,68.9693244926174,26.1606644595503,"PHE/Cambridge","Regional/age","Forecast","infections_cum",16,5,2020,20,2,2020
"East of England",22.5620001341091,28.1801066409686,41.8602384013968,66.8091610220777,93.4726139088352,113.278717578135,54.7342027287489,"PHE/Cambridge","Regional/age","Forecast","infections_cum",16,5,2020,21,2,2020
"London",821.920261106262,949.109187237245,1210.69985567632,1506.8830093905,1811.3629995771,2104.89935859268,1354.73563103399,"PHE/Cambridge","Regional/age","Forecast","infections_cum",16,5,2020,21,2,2020
"Midlands",158.769462004743,182.986563645624,235.866557381585,319.032142809233,397.442967744361,461.04828709332,277.839652952441,"PHE/Cambridge","Regional/age","Forecast","infections_cum",16,5,2020,21,2,2020
"North East and Yorkshire",7.41284843345466,10.6790803958146,17.2257036261896,28.39947245384,38.9019613434521,46.4878253748068,21.9284193101066,"PHE/Cambridge","Regional/age","Forecast","infections_cum",16,5,2020,21,2,2020
"North West",26.153824727756,30.9983209814866,42.3241483750662,72.2163196663275,106.250625917221,131.386368057212,55.828228336361,"PHE/Cambridge","Regional/age","Forecast","infections_cum",16,5,2020,21,2,2020
"South East",113.238286531516,133.86572182957,176.986295042946,261.398488164788,351.756474948137,410.021492252237,210.169063946794,"PHE/Cambridge","Regional/age","Forecast","infections_cum",16,5,2020,21,2,2020
"South West",13.9740442617009,17.7356176125757,26.6316755271757,51.6196013700523,78.5358635719439,97.4559821201851,37.7311476183035,"PHE/Cambridge","Regional/age","Forecast","infections_cum",16,5,2020,21,2,2020
"East of England",32.5072345495596,40.4443532275015,59.5300307147815,93.8756185199447,130.377938917081,157.642559730737,77.3208504788122,"PHE/Cambridge","Regional/age","Forecast","infections_cum",16,5,2020,22,2,2020
"London",1137.69685691617,1307.99446783835,1657.7624315749,2053.78424040139,2454.29697260605,2846.04209272503,1850.31619916506,"PHE/Cambridge","Regional/age","Forecast","infections_cum",16,5,2020,22,2,2020
"Midlands",222.090074503288,255.262285167584,327.042898093153,439.185607880899,544.496567190057,629.447403594844,383.580084309416,"PHE/Cambridge","Regional/age","Forecast","infections_cum",16,5,2020,22,2,2020
"North East and Yorkshire",11.021931107967,15.7205659885609,25.0360734928988,40.7741058974995,55.3965394321631,66.0388641798347,31.7038663060448,"PHE/Cambridge","Regional/age","Forecast","infections_cum",16,5,2020,22,2,2020
"North West",37.8623704667588,44.6933731519093,60.5877281429688,102.044682079211,148.75000472989,183.424920667444,79.4233068505806,"PHE/Cambridge","Regional/age","Forecast","infections_cum",16,5,2020,22,2,2020
"South East",157.605742606922,185.634792656459,244.022898870244,357.303541866465,477.329204666167,554.496505309154,288.508099344887,"PHE/Cambridge","Regional/age","Forecast","infections_cum",16,5,2020,22,2,2020
"South West",19.8559199066638,25.1635616200752,37.3825352300065,71.3512398861374,107.393964060249,132.772724167476,52.4903799581895,"PHE/Cambridge","Regional/age","Forecast","infections_cum",16,5,2020,22,2,2020
"East of England",45.8279666704537,56.7457011717586,82.7266592882084,128.992757948474,177.734606293044,214.195981340566,106.76421907721,"PHE/Cambridge","Regional/age","Forecast","infections_cum",16,5,2020,23,2,2020
"London",1535.27679094841,1758.18827697729,2216.46692106193,2731.07479404942,3249.34697882084,3754.00651162864,2466.58081749871,"PHE/Cambridge","Regional/age","Forecast","infections_cum",16,5,2020,23,2,2020
"Midlands",303.548074392959,348.126815430998,442.907083015658,590.351639093703,728.316612682229,840.79580851064,517.553480929144,"PHE/Cambridge","Regional/age","Forecast","infections_cum",16,5,2020,23,2,2020
"North East and Yorkshire",16.0577845911573,22.6686798133293,35.6558478499251,57.3134053988013,77.2411649846791,91.8395061070144,44.8188028337989,"PHE/Cambridge","Regional/age","Forecast","infections_cum",16,5,2020,23,2,2020
"North West",53.6982723840743,63.0744795991049,84.8522605985596,140.949968055357,203.863319678389,250.26516763542,110.471084185558,"PHE/Cambridge","Regional/age","Forecast","infections_cum",16,5,2020,23,2,2020
"South East",214.207469754366,251.261434375967,328.379560820653,476.259390297468,632.010212681049,731.064711763937,386.864242545959,"PHE/Cambridge","Regional/age","Forecast","infections_cum",16,5,2020,23,2,2020
"South West",27.5723892595867,34.8647721154088,51.2805422776126,96.3171856043913,143.419883193974,176.549101472844,71.2900184150618,"PHE/Cambridge","Regional/age","Forecast","infections_cum",16,5,2020,23,2,2020
"East of England",63.6888409777699,78.4856062198042,113.243947039972,174.56147311371,238.64498593698,286.020143738816,145.136295629686,"PHE/Cambridge","Regional/age","Forecast","infections_cum",16,5,2020,24,2,2020
"London",2036.00467047767,2327.87868899757,2913.76025568156,3569.90710584509,4229.16501775714,4866.67850816486,3233.27015072896,"PHE/Cambridge","Regional/age","Forecast","infections_cum",16,5,2020,24,2,2020
"Midlands",408.246438089208,466.969494757282,589.440780611238,780.792228968176,958.512182417367,1100.93053764862,686.890042877447,"PHE/Cambridge","Regional/age","Forecast","infections_cum",16,5,2020,24,2,2020
"North East and Yorkshire",23.0211060412808,32.2074845648588,50.0592934875978,79.3656970487305,106.265048293636,125.640694056499,62.5375592664803,"PHE/Cambridge","Regional/age","Forecast","infections_cum",16,5,2020,24,2,2020
"North West",75.0727027056297,87.6885101147508,117.003313980146,191.738589898216,274.942458833882,335.50377460929,151.308066747993,"PHE/Cambridge","Regional/age","Forecast","infections_cum",16,5,2020,24,2,2020
"South East",286.822008656163,334.658261537921,434.248789219135,625.053210690989,821.672852330739,947.248543919403,509.87403870424,"PHE/Cambridge","Regional/age","Forecast","infections_cum",16,5,2020,24,2,2020
"South West",37.829903191703,47.5972727102442,69.2434663827329,127.945409119621,188.325144346102,230.801723059283,95.3181231774046,"PHE/Cambridge","Regional/age","Forecast","infections_cum",16,5,2020,24,2,2020
"East of England",87.6234503338169,107.476568555898,153.354466666392,233.588526337269,316.56405802086,377.403307682953,195.198864450824,"PHE/Cambridge","Regional/age","Forecast","infections_cum",16,5,2020,25,2,2020
"London",2669.65159456168,3042.58020504708,3784.14546484225,4610.03824219558,5433.85984684356,6227.58689250062,4188.98055295258,"PHE/Cambridge","Regional/age","Forecast","infections_cum",16,5,2020,25,2,2020
"Midlands",542.578105058488,618.795392771934,775.734907247594,1020.2528711081,1246.7128929441,1422.92135105922,901.016847434348,"PHE/Cambridge","Regional/age","Forecast","infections_cum",16,5,2020,25,2,2020
"North East and Yorkshire",32.7381149277238,45.3528240350896,69.5855382801631,108.867163709358,144.502097889455,170.36935112599,86.3882059265762,"PHE/Cambridge","Regional/age","Forecast","infections_cum",16,5,2020,25,2,2020
"North West",103.871952559982,120.738195572838,159.763949281524,257.985295514285,366.129934846738,444.171229560458,204.984937308081,"PHE/Cambridge","Regional/age","Forecast","infections_cum",16,5,2020,25,2,2020
"South East",379.645276549634,441.433467332475,568.237145677196,809.275699836168,1056.16824764182,1212.59113502701,664.78689101754,"PHE/Cambridge","Regional/age","Forecast","infections_cum",16,5,2020,25,2,2020
"South West",51.4186828011168,64.360877992219,92.4716915829717,167.761919218631,244.225080287724,298.03587262168,126.173749520459,"PHE/Cambridge","Regional/age","Forecast","infections_cum",16,5,2020,25,2,2020
"East of England",119.695520331595,145.912157059011,206.300873947199,310.058844645444,416.078817904073,493.218714302912,260.578732413625,"PHE/Cambridge","Regional/age","Forecast","infections_cum",16,5,2020,26,2,2020
"London",3466.43680820326,3942.2328601455,4868.2570968199,5899.94676334672,6918.84202584347,7898.6706462293,5378.68587962405,"PHE/Cambridge","Regional/age","Forecast","infections_cum",16,5,2020,26,2,2020
"Midlands",715.056908617666,813.557029283872,1012.19424959891,1321.8735817775,1606.0962195279,1823.59045580116,1171.50350751294,"PHE/Cambridge","Regional/age","Forecast","infections_cum",16,5,2020,26,2,2020
"North East and Yorkshire",46.2446733007498,63.5882606748896,95.9461362076026,148.095645701903,194.854769144097,228.879488456827,118.434754471068,"PHE/Cambridge","Regional/age","Forecast","infections_cum",16,5,2020,26,2,2020
"North West",142.782613454582,164.942556642253,216.521319900886,344.540509492146,483.544000446409,581.52776330996,275.731587795521,"PHE/Cambridge","Regional/age","Forecast","infections_cum",16,5,2020,26,2,2020
"South East",498.094388080626,577.209392106687,736.746025239982,1038.24654860495,1347.19166946382,1538.89745580194,857.930644697791,"PHE/Cambridge","Regional/age","Forecast","infections_cum",16,5,2020,26,2,2020
"South West",69.2448258373635,86.3030749247984,122.452182764106,218.228904025218,313.56418693206,381.581625426361,165.398486316456,"PHE/Cambridge","Regional/age","Forecast","infections_cum",16,5,2020,26,2,2020
"East of England",162.634702425633,197.371289706931,275.870981085792,409.316092536391,543.81706572113,642.389863086594,346.020132254948,"PHE/Cambridge","Regional/age","Forecast","infections_cum",16,5,2020,27,2,2020
"London",4477.20501172505,5073.67166871329,6224.00448856175,7496.08947969113,8748.58865168652,9943.53616518262,6853.25020743413,"PHE/Cambridge","Regional/age","Forecast","infections_cum",16,5,2020,27,2,2020
"Midlands",937.228025083711,1062.93280785871,1312.22051033842,1699.74043721764,2055.2964989139,2330.80691120363,1512.81062528174,"PHE/Cambridge","Regional/age","Forecast","infections_cum",16,5,2020,27,2,2020
"North East and Yorkshire",64.9950343152225,88.5580508974785,131.672602843777,200.437576804487,261.591992468808,305.913311056275,161.237405475274,"PHE/Cambridge","Regional/age","Forecast","infections_cum",16,5,2020,27,2,2020
"North West",195.0008828764,224.088019802008,291.755549177823,457.59607625084,634.687366443459,757.055664626529,368.516320069382,"PHE/Cambridge","Regional/age","Forecast","infections_cum",16,5,2020,27,2,2020
"South East",648.956139718335,750.225301001792,949.285816016439,1324.49246473755,1703.54890881267,1938.74974735751,1100.86139199548,"PHE/Cambridge","Regional/age","Forecast","infections_cum",16,5,2020,27,2,2020
"South West",92.6762631833127,114.988438121425,161.096570947086,282.037842214436,400.399088057164,485.206038922525,215.272970545591,"PHE/Cambridge","Regional/age","Forecast","infections_cum",16,5,2020,27,2,2020
"East of England",220.4250180744,265.386655398259,367.146508753015,537.728122494899,707.72527045658,832.070191622219,457.225106858594,"PHE/Cambridge","Regional/age","Forecast","infections_cum",16,5,2020,28,2,2020
"London",5755.35463478324,6495.20391726677,7912.58277939467,9480.1605072432,11004.7808413023,12447.4569054898,8690.70124196918,"PHE/Cambridge","Regional/age","Forecast","infections_cum",16,5,2020,28,2,2020
"Midlands",1222.57300466133,1382.14095415523,1693.96212828186,2176.69653147345,2616.42624610267,2963.9090645891,1943.69373247735,"PHE/Cambridge","Regional/age","Forecast","infections_cum",16,5,2020,28,2,2020
"North East and Yorkshire",91.1647350799196,122.812850483661,180.117490424603,270.263603085203,350.398340835848,407.081304175307,219.240434090093,"PHE/Cambridge","Regional/age","Forecast","infections_cum",16,5,2020,28,2,2020
"North West",264.972223407005,303.542981925341,391.427928911892,604.526728347608,829.893208620753,983.284627921965,491.472177596429,"PHE/Cambridge","Regional/age","Forecast","infections_cum",16,5,2020,28,2,2020
"South East",841.52910741602,970.150049936024,1215.9572165047,1681.69417667428,2144.05450346176,2428.24572730536,1405.73786771716,"PHE/Cambridge","Regional/age","Forecast","infections_cum",16,5,2020,28,2,2020
"South West",123.258630853486,152.526648123686,211.051150066806,362.783921508493,509.655502202226,612.859593864839,279.007301158835,"PHE/Cambridge","Regional/age","Forecast","infections_cum",16,5,2020,28,2,2020
"East of England",297.611911093728,356.370161753525,486.939977700239,703.875581848728,917.833248370213,1073.85792287699,602.386205364789,"PHE/Cambridge","Regional/age","Forecast","infections_cum",16,5,2020,29,2,2020
"London",7368.31511695334,8301.89421862369,10018.8795122254,11939.6452177985,13772.3802603476,15504.9537586674,10972.2344562742,"PHE/Cambridge","Regional/age","Forecast","infections_cum",16,5,2020,29,2,2020
"Midlands",1589.06354422941,1791.39790490412,2179.99034496767,2775.94539834067,3317.73453336732,3742.69533388243,2489.32404924301,"PHE/Cambridge","Regional/age","Forecast","infections_cum",16,5,2020,29,2,2020
"North East and Yorkshire",127.362963526343,170.104738815693,245.739131678491,363.0555747525,467.052374223396,539.897877070561,297.285107190714,"PHE/Cambridge","Regional/age","Forecast","infections_cum",16,5,2020,29,2,2020
"North West",359.024419009178,409.37870684667,524.203583151512,796.305271262817,1080.01766005191,1274.50122367883,651.996162757555,"PHE/Cambridge","Regional/age","Forecast","infections_cum",16,5,2020,29,2,2020
"South East",1087.10031289001,1250.59442552454,1553.16722631372,2123.89177473637,2687.0870297576,3029.21853951769,1788.01649322152,"PHE/Cambridge","Regional/age","Forecast","infections_cum",16,5,2020,29,2,2020
"South West",163.965128356463,201.628589981013,275.704255596678,465.016340258639,645.312220685674,770.631206272552,360.719821224308,"PHE/Cambridge","Regional/age","Forecast","infections_cum",16,5,2020,29,2,2020
"East of England",400.937915036665,477.172865647136,645.39360757444,920.739823269988,1187.47892710303,1383.28457404707,791.002679524088,"PHE/Cambridge","Regional/age","Forecast","infections_cum",16,5,2020,1,3,2020
"London",9410.24504521388,10552.8185059346,12645.9241497195,14984.7151934992,17175.9223081543,19270.0493088166,13810.7083619499,"PHE/Cambridge","Regional/age","Forecast","infections_cum",16,5,2020,1,3,2020
"Midlands",2060.02093689981,2315.73281445143,2796.20982268112,3530.57498910579,4193.38211271667,4704.2289585383,3179.74803404728,"PHE/Cambridge","Regional/age","Forecast","infections_cum",16,5,2020,1,3,2020
"North East and Yorkshire",177.562197168208,235.351025397566,334.0772216093,487.314035720618,620.179164375789,713.314024992597,402.128136837992,"PHE/Cambridge","Regional/age","Forecast","infections_cum",16,5,2020,1,3,2020
"North West",486.545102044664,552.419416433955,699.632805572054,1047.56824227778,1403.69375739429,1644.79521661628,863.665675310236,"PHE/Cambridge","Regional/age","Forecast","infections_cum",16,5,2020,1,3,2020
"South East",1400.68239485935,1603.16119873075,1978.22586930839,2672.45509338571,3354.50634937767,3767.58815578372,2267.1242265073,"PHE/Cambridge","Regional/age","Forecast","infections_cum",16,5,2020,1,3,2020
"South West",218.127782527676,265.231037849835,359.63820046006,594.513916107128,814.940593313344,964.617502598131,464.690366912207,"PHE/Cambridge","Regional/age","Forecast","infections_cum",16,5,2020,1,3,2020
"East of England",539.181762451988,638.153604652136,852.300902574994,1202.3175055415,1532.08677508703,1775.61649002144,1037.53343470684,"PHE/Cambridge","Regional/age","Forecast","infections_cum",16,5,2020,2,3,2020
"London",11969.6292153715,13399.2663770713,15928.0611430969,18747.9939330679,21390.8880682522,23866.9254558428,17344.5879632121,"PHE/Cambridge","Regional/age","Forecast","infections_cum",16,5,2020,2,3,2020
"Midlands",2670.33968717059,2985.73799412187,3580.13401144544,4480.75661517237,5291.54178088381,5913.48125635307,4047.55640428159,"PHE/Cambridge","Regional/age","Forecast","infections_cum",16,5,2020,2,3,2020
"North East and Yorkshire",247.478776778475,324.522543148314,454.948328002001,653.219918920942,822.676244876734,943.562808596832,543.17666587411,"PHE/Cambridge","Regional/age","Forecast","infections_cum",16,5,2020,2,3,2020
"North West",659.861410180655,743.313018537599,933.218185002765,1375.98734221994,1821.64507122507,2122.68532409822,1143.25192508074,"PHE/Cambridge","Regional/age","Forecast","infections_cum",16,5,2020,2,3,2020
"South East",1802.98262173309,2051.95162525729,2514.72530717644,3353.87351469265,4176.39074637193,4672.65525473004,2866.56738414835,"PHE/Cambridge","Regional/age","Forecast","infections_cum",16,5,2020,2,3,2020
"South West",289.188303024295,348.844417079047,467.494279785747,758.137291602043,1027.23553633215,1204.47254232379,597.856345263145,"PHE/Cambridge","Regional/age","Forecast","infections_cum",16,5,2020,2,3,2020
"East of England",724.419207372852,852.818681509502,1125.57763984924,1567.61261509249,1973.08513347314,2276.44001515879,1358.27625450942,"PHE/Cambridge","Regional/age","Forecast","infections_cum",16,5,2020,3,3,2020
"London",15218.3739974343,16979.6075993776,20007.1500777705,23428.4693619176,26579.313290552,29495.441892201,21717.0527296557,"PHE/Cambridge","Regional/age","Forecast","infections_cum",16,5,2020,3,3,2020
"Midlands",3448.4140739996,3842.18316803464,4573.69448669087,5678.13523455293,6665.73350981761,7422.59355716268,5146.58382921462,"PHE/Cambridge","Regional/age","Forecast","infections_cum",16,5,2020,3,3,2020
"North East and Yorkshire",344.028849713572,448.43728209927,618.371190254746,874.494543124006,1089.99328137616,1245.57500961721,732.436084962511,"PHE/Cambridge","Regional/age","Forecast","infections_cum",16,5,2020,3,3,2020
"North West",893.249550424701,998.50729985232,1243.0557418866,1803.66494228533,2356.90045129981,2730.72016163441,1510.58206195256,"PHE/Cambridge","Regional/age","Forecast","infections_cum",16,5,2020,3,3,2020
"South East",2316.10444596577,2627.34550640174,3187.47638924686,4203.39203554125,5184.64209866776,5778.0535581462,3614.23977306281,"PHE/Cambridge","Regional/age","Forecast","infections_cum",16,5,2020,3,3,2020
"South West",382.905161001386,458.053528111386,606.749821784733,966.087354699167,1287.75201067503,1502.43273303306,768.625135906702,"PHE/Cambridge","Regional/age","Forecast","infections_cum",16,5,2020,3,3,2020
"East of England",972.796467509884,1138.69182676528,1483.26387193824,2041.17594506482,2539.31030093727,2914.68279105722,1778.5726942886,"PHE/Cambridge","Regional/age","Forecast","infections_cum",16,5,2020,4,3,2020
"London",19310.3283491518,21499.7740066742,25115.4713462125,29230.9811622115,32946.3127645055,36339.698743883,27171.4301490755,"PHE/Cambridge","Regional/age","Forecast","infections_cum",16,5,2020,4,3,2020
"Midlands",4451.58743851284,4938.24179969616,5833.26016102437,7183.35705528194,8378.68113617356,9294.95073994136,6534.86768834089,"PHE/Cambridge","Regional/age","Forecast","infections_cum",16,5,2020,4,3,2020
"North East and Yorkshire",479.603355004911,617.649012897308,839.702166025454,1168.61618670287,1444.67067984572,1640.70886055612,987.360613666767,"PHE/Cambridge","Regional/age","Forecast","infections_cum",16,5,2020,4,3,2020
"North West",1205.20279431319,1344.28447698623,1654.96474432141,2362.18851212335,3050.61664886144,3505.92100888214,1992.23961407728,"PHE/Cambridge","Regional/age","Forecast","infections_cum",16,5,2020,4,3,2020
"South East",2975.56878461375,3351.21512999207,4037.8012706522,5258.17149477995,6433.07652662492,7138.121468063,4553.12654842668,"PHE/Cambridge","Regional/age","Forecast","infections_cum",16,5,2020,4,3,2020
"South West",505.035894415683,601.519376045283,787.0289145693,1228.06994703363,1616.33368030045,1875.62396551076,985.760715068591,"PHE/Cambridge","Regional/age","Forecast","infections_cum",16,5,2020,4,3,2020
"East of England",1306.61297386044,1519.84274098714,1953.86380146315,2648.98721890002,3269.29410292533,3728.05927298658,2322.76818287801,"PHE/Cambridge","Regional/age","Forecast","infections_cum",16,5,2020,5,3,2020
"London",24439.0622231476,27150.2105136757,31471.5023107868,36410.9719641999,40787.4022101698,44897.9337142606,33942.2595230417,"PHE/Cambridge","Regional/age","Forecast","infections_cum",16,5,2020,5,3,2020
"Midlands",5743.09112158221,6335.63623737187,7432.09577959799,9074.7234648272,10525.2912144381,11617.6337844214,8281.37161130934,"PHE/Cambridge","Regional/age","Forecast","infections_cum",16,5,2020,5,3,2020
"North East and Yorkshire",668.837176039392,850.426112689837,1139.25951155905,1560.8182200731,1915.40959319871,2166.78852396357,1329.11455186912,"PHE/Cambridge","Regional/age","Forecast","infections_cum",16,5,2020,5,3,2020
"North West",1626.27986427448,1805.1822158043,2204.35298765847,3092.21365240504,3932.20054285294,4515.01775162404,2627.08599113221,"PHE/Cambridge","Regional/age","Forecast","infections_cum",16,5,2020,5,3,2020
"South East",3819.55055245706,4284.12887585922,5107.58431618384,6570.43045419788,7965.09006659832,8820.67216037665,5731.78923097562,"PHE/Cambridge","Regional/age","Forecast","infections_cum",16,5,2020,5,3,2020
"South West",667.495090441126,789.501007312954,1019.16721985135,1560.97684709854,2026.94084785674,2335.53270732549,1263.96442958374,"PHE/Cambridge","Regional/age","Forecast","infections_cum",16,5,2020,5,3,2020
"East of England",1753.15763638881,2026.72246296379,2575.22162779218,3440.43134157361,4201.0009411832,4767.68210362424,3033.30029729774,"PHE/Cambridge","Regional/age","Forecast","infections_cum",16,5,2020,6,3,2020
"London",30931.2760485973,34192.8133137676,39360.3745112337,45294.2051163075,50468.1595897985,55238.48026465,42346.6122961308,"PHE/Cambridge","Regional/age","Forecast","infections_cum",16,5,2020,6,3,2020
"Midlands",7416.92738069887,8128.27545301468,9457.9757331348,11463.2459824538,13190.2299864488,14532.1201225538,10496.195533899,"PHE/Cambridge","Regional/age","Forecast","infections_cum",16,5,2020,6,3,2020
"North East and Yorkshire",931.896710226234,1171.8522740958,1545.26624621359,2086.85072394771,2534.25986326649,2850.04923802895,1789.91502649688,"PHE/Cambridge","Regional/age","Forecast","infections_cum",16,5,2020,6,3,2020
"North West",2190.23148632435,2425.31408200457,2929.54480817317,4042.08993917319,5074.14753386761,5804.73523104785,3465.52241946895,"PHE/Cambridge","Regional/age","Forecast","infections_cum",16,5,2020,6,3,2020
"South East",4896.02691559373,5463.63529347571,6453.5815527194,8209.17808373011,9847.51648374113,10879.4563103602,7207.6842081756,"PHE/Cambridge","Regional/age","Forecast","infections_cum",16,5,2020,6,3,2020
"South West",881.332554125321,1035.47089499728,1320.14118058462,1981.51467712013,2539.15414900104,2905.67021051649,1621.83950069905,"PHE/Cambridge","Regional/age","Forecast","infections_cum",16,5,2020,6,3,2020
"East of England",2358.69260614867,2700.23459884288,3386.54689375145,4468.22197187635,5394.00532453752,6077.95940644522,3958.94077103969,"PHE/Cambridge","Regional/age","Forecast","infections_cum",16,5,2020,7,3,2020
"London",39134.6730118234,43042.0625942294,49207.7823960643,56297.5351574884,62443.9302971733,67816.7540788592,52802.6106922326,"PHE/Cambridge","Regional/age","Forecast","infections_cum",16,5,2020,7,3,2020
"Midlands",9538.28812908013,10422.9499480433,12033.0914144131,14456.8782924527,16530.2720674534,18138.3584200661,13293.3594326338,"PHE/Cambridge","Regional/age","Forecast","infections_cum",16,5,2020,7,3,2020
"North East and Yorkshire",1299.46490069332,1614.65447216118,2093.86568678123,2783.87440057626,3345.85649643577,3746.62317956725,2411.47564176161,"PHE/Cambridge","Regional/age","Forecast","infections_cum",16,5,2020,7,3,2020
